id	premise	hypothesis	label	explanation	split	type	idiom
2035	I was disgusted some old rotten sweet potatoes hiding at the back of my refrigerator.	I found some old rotten sweet potatoes at the back of my refrigerator and it didn't wanna make me throw up at all.	Contradiction	Rotten sweet potatoes would generally make people want to vomit because of the foul smell and unpleasant taste and so it is unlikely that it didn't make the person want to throw up.	train	Sarcasm	
2036	The children danced with joy	The children frolicked with joy.	Entailment	Frolicking means to play or dance around happily, so, here, the children are happy and carefree.	train	Metaphor	
2037	The measures definitely helped to stabilize the economy.	The new measures jostled the economy.	Contradiction	To jostle something means to cause it to move or shift abruptly, while to help something means to provide assistance or support.	train	Metaphor	
2038	The conversation was very juicy.	The conversation was as juicy as a business meeting	Contradiction	A business meeting would not be considered a juicy conversation because it would be about work and not personal matters	train	Simile	
2039	I don't like doing my job and the duties of other co-worker that slack.	I like the fact that my job is already hard and then I have to do the work of a lazy co-worker too	Contradiction	The workload at a job is already tough and then having to do the work of a lazy co-worker on top of that makes it even harder, which is not something anyone would like.	train	Sarcasm	
2040	Momma and Emma were not working together at all to try to fatten the girl up.	Momma and Emma were in cahoots to try to fatten the girl up.	Contradiction	To be in cahoots means to be working together closely and often secretive or conspiratorial, but in this context Momma and Emma were not working together at all	train	Idiom	in cahoots
2041	I heard the in-flight entertainment is amazing and wonderful.	I heard the in-flight entertainment is out of this world.	Entailment	To be out of this world means to be extraordinary, and in this sentence the in-flight entertainment is said to be amazing and wonderful.	train	Idiom	be out of this world
2042	Buddy of mine and I had both paid for front row tickets to a concert, but when we got there and I realized we forgot it back home	My buddy and I are such smart people that we both paid for front row tickets to a concert but then realized we left the tickets at home	Contradiction	Not being able to go to a concert you paid for because you left the tickets at home is really dumb and not something that smart people would do	train	Sarcasm	
2043	I'm on a diet and I ate three chocolate bars yesterday.	I feel amazing that I cheated on my diet by eating three chocolate bars yesterday	Contradiction	Cheating on a diet by eating unhealthy foods like chocolate bars will sabotage the whole purpose of the diet and so someone one would feel guilty and not amazing.	train	Sarcasm	
2044	I can help you out, earn real points that will make your sister happy, and make my dad think that I'm a good kid all at once.	I can help you out, earn brownie points with your sister, and make my dad think that I'm a good kid all at once.	Contradiction	A brownie point is an imaginary award given to someone who does good deeds, but this sentence describes receiving real points.	train	Idiom	brownie point
2045	A random number won't stop calling me even after I blocked them.	I am so annoyed that this random number keeps calling me even after I blocked them	Entailment	It is very frustrating when someone continues to call you even after you have taken measures to stop them and so it is natural to feel annoyed	train	CreativeParaphrase	
2046	My flight got delayed and now I have to stay in the airport all alone overnight sleeping on the ground like a dog.	The fact that my flight got delayed and I now have to spend the night sleeping on the airport floor like an animal makes me feel terrible	Entailment	A flight getting delayed often causes a lot of inconvenience and can often lead to people having to spend the night in the airport which is uncomfortable and makes people feel terrible	train	CreativeParaphrase	
2047	I let out a loud fart while eating lunch with my coworkers moments ago.	I let out a loud fart while eating lunch with my coworkers and now I feel totally pleased and confident	Contradiction	Farting in public is often considered to be rude and socially unacceptable and so someone who does it cannot feel pleased and confident.	train	Sarcasm	
2048	God, the thing was thick.	God, the thing was like a credit card.	Contradiction	A credit card is thin, not thick, since it has to fit in a wallet	train	Simile	
2049	My house and property have been swept away overnight.	The fact that my house and property have been swept away overnight makes me feel like I am in a horrible nightmare	Entailment	A house is typically a place of safety and security so having it swept away would be horrifying and feel like being in a nightmare	train	CreativeParaphrase	
2050	A large crater in the center of town looked especially beautiful.	A large crater in the center of town looked like a ragged hole gouged into a pastry.	Contradiction	A ragged hole gouged into a pastry would disfigure a beautiful pastry, so it would be seen as appaling instead	train	Simile	
2051	In such cases, ehrlich's motto was it is better to remain silent than to speak.	In such cases, ehrlich's motto was speech is silver, silence is golden.	Entailment	The idiom silence is golden means it is better to remain silent than to speak, which is what ehrlich's motto was in this context.	train	Idiom	silence is golden
2052	The police officer tried to harass me	The police officer's attempt to interrogate me was totally worthwhile and I completely enjoyed the experience.	Contradiction	The police officer's attempt to interrogate someone is not a good experience and often a form harrassment because it makes them feel scared and uncomfortable.	train	Sarcasm	
2053	My best friend left me alone at the bar with a random stranger while I was drunk instead of getting me home	My best friend abandoned me at the bar with a random dude while I was hammered instead of getting me home	Entailment	Being abandoned at a bar by your best friend while you are drunk and with a random stranger is pretty scary and not something that a good friend would do	train	CreativeParaphrase	
2054	Everything is heavy.	Everything is like a snowflake touching skin .	Contradiction	Snowflakes are very light, so if everything is like a snowflake touching skin, then it would be light, not heavy	train	Simile	
2055	If I were you, I would not do anything beyond what is necessary or expected to please him.	If I were you, id go the extra mile to please him.	Contradiction	To go the extra mile means to do more than what is necessary or expected, but this sentence says to not do anything beyond what is necessary.	train	Idiom	go the extra mile
2056	I'm furious my cell phone bill this month is 200 dollars more than last months for no reason	I simply adore how my cell phone bill skyrocketed from last month for no reason!	Contradiction	Most people hate it when their cell phone bill goes up for no apparent reason and hence would not adore it.	train	Sarcasm	
2057	Adrenaline recedes through him powerfully.	Adrenaline surges through him powerfully.	Contradiction	To surge means to rise or increase suddenly and powerfully, while to recede means to move back or retreat.	train	Metaphor	
2058	He criticized me so bad that he brought out all my weaknesses.	He attacked every weak point in my argument.	Entailment	Attacking every weak point means to bring out someone's weaknesses to highlight them or make them more visible.	train	Metaphor	
2059	Your untheatrical behavior has reached its limit.	I have had enough of your melodrama.	Contradiction	One statement suggests that they've had enough of the person'  excessively emotional and dramatic behavior whereas the other statement suggests the person is untheatrical and low-key.	train	Metaphor	
2060	Besides, I can do a lot more damage with a sheath of arrows than she can with two axes, so I'm the best one to follow behind.	Besides, I can do a lot more damage with a sheath of arrows than she can with two axes, so I'm the best one to bring up the rear.	Entailment	To bring up the rear means to move last in a group of people.	train	Idiom	bring up the rear
2061	I recently got a set of new tires and a week later a tire blew while I was driving to work.	Love how I just got a new set of tires and this is the thanks I get? A blown tire on my way to work?	Contradiction	A blown tire is not a good thing to happen as it can lead to accidents or other problems and so getting a new set of tires and then having a blown tire is really unfavorable.	train	Sarcasm	
2062	Her joy was mild.	Her joy was blinding.	Contradiction	The person  is so full of joy that it's blinding, and at the same time, such intense joy cannot be mild.	train	Metaphor	
2063	Well, don't let the compliments and success make you feel humble and modest.	Well, don't let them go to your head.	Contradiction	When an accomplishment goes to your head, it means it causes you to become arrogant, but in this context the compliments and success make the person feel humble and modest.	train	Idiom	go to your head
2064	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to get in the way of the shot .	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .	Entailment	smother the shot means to block the shot, here, Rhodes tried to get in the way of the shot.	train	Metaphor	
2065	The crocodile's teeth are purple and dull.	The crocodile's teeth are yellow daggers.	Contradiction	A dagger is a sharp weapon that is used for stabbing, while purple and dull teeth would suggest that they are not sharp.	train	Metaphor	
2066	I left my friend at the bar the other night.	I abandoned my friend at the bar the other night and I feel terrible about it	Entailment	Leaving a friend behind at a bar is often seen as a bad thing to do because it can leave them feeling abandoned and alone so its no surprise that someone would feel terrible about doing it	train	CreativeParaphrase	
2067	He's a moldering old bachelor and a gypsy swindler but he is also very kind and caring.	He's a moldering old bachelor and a gypsy swindler to boot.	Contradiction	To boot means as well or additionally, but this context is saying that he is a moldering old bachelor and a gypsy swindler but he is also very kind and caring	train	Idiom	to boot
2068	I've been grinding for two years as an aspiring actor and I have yet to land any large roles.	Overjoyed with how I've been working my ass off for two years as an aspiring actor and I still don't have any large roles	Contradiction	The goal of aspiring actors is to get large roles and so someone who has not been successful after two years is not overjoyed but rather very disappointed.	train	Sarcasm	
2069	I'm experiencing a great streak of success without any failures.	I'm on a roll.	Entailment	To be on a roll is to experience a successful period without any setbacks, which is what is happening in this context.	train	Idiom	on a roll
2070	All they wanted were his - no way!	All they wanted were his - not on your life!	Entailment	Not on your life is used to refuse very firmly to do something, so in this context they are refusing to give up his possessions.	train	Idiom	not on your life
2071	Jayson had helped the woman get away with avoiding conviction and punishment on a technicality.	Jayson had helped the woman beat the rap on a technicality.	Entailment	To beat the rap means to evade conviction and punishment, which is what Jayson helped the woman do.	train	Idiom	beat the rap
2072	Mrs. Hastings kept talking about how pretty the restaurant was, but Spencer thought it was too bright.	Mrs. hastings kept clucking about how nice the surroundings were, but spencer thought the restaurant was like a funeral home.	Contradiction	A funeral home is a place for mourning, and is typically decorated in somber colors and would not be thought of as bright	train	Simile	
2073	She is quite dumb.	She is as smart as a rock.	Entailment	Rocks are not alive and don't have the capacity to think, therefore they are not smart so the simile means she is dumb	train	Simile	
2074	A neat step-over made by Rocastle landed Thomas right in front of the goal and therefore Rhodes moved out of his position to get out of the way.	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .	Contradiction	In one sentence Rhodes tries to get in the way of the shot to block it whereas in the second he get off the way.	train	Metaphor	
2075	They were all graduates and had never actually worked before in any capacity rather than just holding student jobs.	They were all graduates and apart from some student jobs, had never been at the coalface.	Entailment	To be at the coalface means to be engaged in work at an active level, rather than just holding student jobs which is what they had done up until this point.	train	Idiom	at the coalface
2076	Once I met this beautiful girl and she chose my best friend over me	The fact that the most beautiful girl I have ever seen chose my best friend over me makes me insanely happy	Contradiction	A person's reaction to someone they are attracted to choosing someone else over them would usually be one of sadness or anger, so feeling really happy about it is not realistic.	train	Sarcasm	
2077	a complex system with many different moving parts.	wheels within wheels.	Entailment	To have wheels within wheels means to have a complex system with many different moving parts.	train	Idiom	wheels within wheels
2078	Let's see if you keep calm and refrain from making any noise next Monday when it's just another start to a shitty week.	Let's see if you whoop it up next monday when it's just another start to a shitty week.	Contradiction	To whoop it up means to celebrate, especially with cheers and whoops, but in this context the speaker is wondering if the person will keep calm instead	train	Idiom	whoop it up
2079	People always thought you were strange when you were growing up.	Growing up, people always thought you were like a social pariah.	Entailment	A social pariah is an outcast, someone who is not considered part of society.	train	Simile	
2080	She looked at him with her pale green eyes, which were now sober and steady.	She met his gaze again, her pale green eyes like a warrior girded for battle.	Entailment	A warrior girded for battle is someone who is preparing for combat, and is thus ready and steady for whatever may come.	train	Simile	
2081	I went grocery shopping the other day and didn't realize I had left my wallet until it was time to pay.	I feel like an idiot because I left my wallet at home when I went grocery shopping	Entailment	Grocery shopping usually requires money so forgetting to bring your wallet is pretty silly and makes people feel like idiots	train	CreativeParaphrase	
2082	I have severe social anxiety and don't have any friends.	I am so glad that I don't have any friends because of my severe social anxiety	Contradiction	People with social anxiety often want to have friends and are deprived of them, so not having any friends cannot be considered a good thing.	train	Sarcasm	
2083	I was irritated when I was at the airport and someone cut in line.	I was ecstatic when I saw someone jump the queue and cut in line at the airport.	Contradiction	Queue jumping is considered to be rude and selfish and so someone being ecstatic about seeing it happen is not justified.	train	Sarcasm	
2084	He just suddenly appeared and was still alive and well.	He just appeared out of nowhere; dead as a doornail.	Contradiction	Dead as a doornail means totally defunct, but the person appeared and was still alive	train	Idiom	dead as a doornail
2085	Life is very difficult to understand and it poses many problems which needs to be solved.	Life is a foreign language: all men mispronounce it.”.	Entailment	Life is very difficult to understand like trying to learn a foreign language, which is hard to understand and there are a lot of mistakes that can be made.	train	Metaphor	
2086	My friends asked if I would play the piano at their wedding reception.	My friends asked if I would tickle the ivory at their wedding reception.	Entailment	To tickle the ivories means to play the piano, so the entailment is that the speaker will play the piano at the reception.	train	Idiom	tickle the ivories
2087	I got my burger with millions of onions on it today when I specifically asked for no onions.	I was really glad that the burger place didn't listen to my request and put onions on my burger.	Contradiction	Most people do not like onions on their burgers and so someone being glad that the burger place did not listen to their request is really ironic.	train	Sarcasm	
2088	With reserve he kept quiet.	With reserve he thus made answer.	Contradiction	He made an answer means he gave an answer, while being quite would suggest that one did not give any answer.	train	Metaphor	
2089	Her neck was beautiful	Her neck was like the smooth curve of a pearl.	Entailment	A pearl is a valuable, lustrous gemstone, so the simile is emphasizing the beauty of the neck.	train	Simile	
2090	So disasters occur not singly.	So disasters  come  not singly .	Entailment	So disasters come not singly means that more than one disaster can happen at a time.	train	Metaphor	
2091	I was really pulling for England during the world cup but they lost.	I was rooting for England during the world cup but their loss devastates me	Entailment	England is typically not a favorite to win the world cup so their loss is often devastating to their fans	train	CreativeParaphrase	
2092	My friend Karl had a party, he invited a lot of people and I was not invited.	I feel so cherished that my loyal friend Karl had a party and I wasn't invited.	Contradiction	Being left out of a party organized by a close friend can be really hurtful and show that they don't really care about you, which is the opposite of feeling cherished.	train	Sarcasm	
2093	Besides, I can do a lot more damage with a sheath of arrows than she can with two axes, so I'm the best one to lead in front.	Besides, I can do a lot more damage with a sheath of arrows than she can with two axes, so I'm the best one to bring up the rear.	Contradiction	To bring up the rear means to move last in a group of people, but in this sentence he is leading in front	train	Idiom	bring up the rear
2094	I definitely did not feel good about it when I found out I failed.	I was completely mortified when I found out I failed	Entailment	Failing is often seen as a very negative thing and finding out that someone has failed at something is often accompanied by feelings of embarrassment and shame	train	CreativeParaphrase	
2095	The khan motioned widely towards alejo, pleased	The khan motioned widely towards alejo, like a kindergartner presenting his newest coloring page to his favorite teacher.	Entailment	A kindergartner presenting his coloring page is proud and pleased of his work and is hoping to receive approval from the teacher.	train	Simile	
2096	He lay down in front of the rising sun.	He lay before the gathering sun.	Entailment	The sun is gathering in the sky, and he is lying down in front of it.	train	Metaphor	
2097	No strings, just you and me, two people not at all similar to each other, wrestling it out.	No strings, just you and me, two birds cut from the same cloth, wrestling it out.	Contradiction	To be cut from the same cloth means to be very similar in characteristics or behaviors, but in this sentence the two people are not at all similar to each other	train	Idiom	cut from the same cloth
2098	The rich man was a very kind-hearted person.	The rich man had a cold heart.	Contradiction	A cold heart is often seen as being insensitive or unemotional, while a kind-hearted person is someone who is caring and compassionate.	train	Metaphor	
2099	My friend canceled on me for a concert last minute.	My friend canceled on me for the concert at the last minute and I was really looking forward to it	Entailment	When people cancel on others last minute for events that the person was looking forward to it often leads to feelings of disappointment and frustration	train	CreativeParaphrase	
2100	I have to work all weekend when I just want to sleep and do nothing.	I feel so fortunate that I have to work all weekend when I just want to sleep and not do anything	Contradiction	Someone working all weekend when they don't want to is not a fortunate feeling and implies that they are doing something they don't want to as a form of punishment.	train	Sarcasm	
2101	I clogged up the toilet at a female friend's house by accident and I didn't tell them.	I feel like a responsible friend since I clogged up the toilet at my female friend's house and pretended it never happened.	Contradiction	It is not responsible to clog up the toilet at someone's house and then pretend it never happened because that would leave the person with the mess to clean up.	train	Sarcasm	
2102	One time I sweat so much on the way to the store that I had a big sweat stain on my butt!	the one time i went to the store and had a sweat stain on my butt from sweating so much was such a joyous occasion.	Contradiction	Having a sweat stain on your butt from sweating is an embarrassing and unpleasant experience that nobody would want to go through and hence it cannot be a joyous occasion.	train	Sarcasm	
2103	The spy was very quiet	the spy was as quiet as a howler monkey	Contradiction	Howler monkeys are known to be one of the loudest animals, so saying the spy was as quiet as one would imply the spy was very loud	train	Simile	
2104	It hung in the sky, round and bright	It hung in the sky, like a clean plate at the bottom of a scummy sink.	Entailment	A clean plate at the bottom of a sink is bright and round, and so is the moon.	train	Simile	
2105	The last time Reuben had seen anyone do that was Pa Kettle in the old movie Ma and Pa Kettle really going all out.	The last time reuben had seen anyone do that was pa kettle in the old movie ma and pa kettle go to town.	Entailment	To go to town means to act with great energy and/or enthusiasm, and in this context Pa Kettle is going all out in the movie.	train	Idiom	go to town
2106	The problem with the project is that it is deception.	The problem with the project is that it is all smoke and mirrors.	Entailment	The idiom smoke and mirrors is used to describe trickery or deception, which is what the problem with the project is in this context.	train	Idiom	smoke and mirrors
2107	Fell , and could not improve their situation from weakness.	Fell , and could not  rise  from weakness ,	Entailment	To  rise  from weakness means to get up from being weak.	train	Metaphor	
2108	She turned to Colin and said that being assertive and controlling will not help him get what he wants.	She turned to colin, you might have to throw your weight around.	Contradiction	To throw your weight around means to assert oneself in a controlling or domineering manner, but in this context she says that it won't help him get what he wants	train	Idiom	throw your weight around
2109	"""But it's been so much fun watching you try productively and making significant progress,"" Briggs mocked, still keeping himself hidden behind his black magic."	"""But it's been so much fun watching you chase your tail,"" Briggs mocked, still keeping himself hidden behind his black magic."	Contradiction	To chase your tail means to take action that is ineffectual and does not lead to progress, but in this sentence the person is taking productive action and making significant progress.	train	Idiom	chase your tail
2110	That's because men act like the c**k of the walk but women definitely are not in charge and do not have the final say.	That's because men act like the c**k of the walk but women rule the roost.	Contradiction	To rule the roost means to be the person in charge, but in this context it is saying that women are not in charge	train	Idiom	rule the roost
2111	I just ran out of financial aid for school.	I just found out that I'm lucky enough to not be able to afford to go to school anymore because I used up all my financial aid	Contradiction	It is not wise to use up all of one's financial aid because it leaves them with no other option but to not attend school, which would be a very unfortunate turn of events.	train	Sarcasm	
2112	Everyone ordered and got their food except me.	I was angry considering the only person who didn't get their food after everyone else already placed their orders was me.	Entailment	When everyone else gets their food before you do after already placing your order, it is easy to get angry because it feels like you are being ignored or your order was forgotten	train	CreativeParaphrase	
2113	Loaded firearms on a pressurized ship were popular, so he had to hand in his own weapons when he came on board.	His own weapons had been handed in as he came aboard; loaded firearms on a pressurized ship were like an insurance salesman at a cocktail party.	Contradiction	An insurance salesman at a cocktail party would be out of place and not popular	train	Simile	
2114	He lived in a state of intense terror.	He lived in a state of deep terror.	Entailment	To live in deep terror means to experience an intense event that causes fear.	train	Metaphor	
2115	Everything flowed to his glory.	Everything bowed to his glory.	Entailment	To bow means to show respect or deference to someone, so everything flowed to his glory means that everything showed respect or deference to him.	train	Metaphor	
2116	Of the happy days that occurred afterward.	Of the happy days that  followed  ,	Entailment	followed  means came after	train	Metaphor	
2117	New documents getting disclosed with such irresponsibility.	And now they were leaking all kinds of documents.	Entailment	Leaking documents means that they are being released without proper care or consideration.	train	Metaphor	
2118	Even though Santiago wasn't convinced, he turned his attention to the vampire who was pacing back and forth in the cellar, and her movements were graceful.	Santiago wasn't entirely convinced, but he turned his attention to the beautiful vampire, who was busy pacing from one end of the cellar to the other, her movements like a water sprite.	Entailment	A water sprite is a mythical creature who is known for their beauty and gracefulness, so the simile is used to describe the vampire's movements.	train	Simile	
2119	My family buys my adult sister things all the time but can't really help me out when I need it.	I feel terrible that my family buys my adult sister things all the time but can't really help me out when I need it	Entailment	It is often unfair when one sibling is given more resources than another and in this case it seems particularly unjust because the sister who is being given more resources is an adult	train	CreativeParaphrase	
2120	My mom gave me her old car but I didn't realize the trunk leaked.	I am super excited that my mom's old car came with a bonus feature of a leaky trunk.	Contradiction	Having a leaky trunk in a car is not a bonus feature because it causes water to enter the car and ruin the belongings inside or damage the car itself.	train	Sarcasm	
2121	I was walking bare feet outside and stepped on an earthworm.	I was innocently walking outside bare feet and fortunately stepped on a beautiful earthworm.	Contradiction	Stepping on an earthworm is not a fortunate thing because they are often squishy and considered to be gross by many people.	train	Sarcasm	
2122	I just so happen to know that they pay a measly amount of money for a bloodhorse and titan is our best two year-old.	I happen to know they pay top dollar for a bloodhorse and titan is our best two year-old.	Contradiction	To pay top dollar means to pay a very large amount of money, but in this context they are paying a measly amount	train	Idiom	top dollar
2123	Marvin tried to avoid humiliation and regain favorable standing by contributing something.	Marvin tried to save face by contributing something.	Entailment	To save face is to try to regain favorable standing after something embarrassing has happened, which is what Marvin was trying to do by contributing something.	train	Idiom	save face
2124	The airplane smelled like it hadn't been cleaned for months.	The airplane smelled like vomit and dirty diapers, suggesting they had it cleaned it right before the passengers showed up.	Contradiction	The airplane probably did not get cleaned properly and so it smelled of vomit and dirty diapers which is very pungent and unpleasant.	train	Sarcasm	
2125	If the claim went unnoticed or was neglected, she would be in less trouble.	Hopefully, the claim would slip through the net, but if it didn't she was in even more trouble.	Contradiction	To slip through the net means to go unnoticed or be neglected, but in this context it would be better if the claim was noticed	train	Idiom	slip through the net
2126	He did not buzz the sercant.	He summoned the servant.	Contradiction	Summoned here means he was aking for the sercant while the refusing buzzing indicates that he did not perform the action.	train	Metaphor	
2127	I had a bad day and tried calling two different people and couldn't get anyone	I feel so alone because I had a terrible day and no one wanted to pick up my call	Entailment	When people have a bad day, they often want to talk to someone about it but if they can't get ahold of anyone it can make them feel isolated and alone	train	CreativeParaphrase	
2128	The judge is honest	The judge is as honest as Pinocchio	Contradiction	Pinocchio is a cartoon character that lies a lot, so the judge would not be honest	train	Simile	
2129	A constant battle to earn sufficient money to pay all of one's bills?	A constant struggle to make ends meet?	Entailment	To make ends meet means to earn just enough money to pay one's bills, which is described as a constant battle.	train	Idiom	make ends meet
2130	I was so mad I spent weeks on my project and my partner took most of the credit for it.	I was so proud that I spent weeks on my project and my partner took most of the credit for it	Contradiction	Being given credit to a different person for someone else's work is never a good thing and so someone who was proud about it is not rational.	train	Sarcasm	
2131	We refused money into the education of our children.	We streamed money into the education of our children.	Contradiction	To stream something means to supply it in a continuous flow, while to refuse something means to reject or decline it.	train	Metaphor	
2132	The place is secluded, away from the frequently traveled routes and not well-known, very peaceful.	The place is off the beaten track, very peaceful.	Entailment	To be off the beaten track means to be away from the frequently traveled routes, and in this context the place is also described as being little-known or in a remote area.	train	Idiom	off the beaten track
2133	He looked modern and civilized.	He looked like a prowling animal .	Contradiction	Prowling animals are usually wild and not domesticated, so they are not usually perceived as looking modern and civilized	train	Simile	
2134	I applied for a loan to buy a house from the bank but didn't get it.	I was really hopeful about getting the loan to buy my dream house, but luckily the bank rejected me	Contradiction	Applying for a loan and then getting rejected is not a favorable outcome because it means that the person will not be able to buy their dream house and cannot be considered as a sign of good luck.	train	Sarcasm	
2135	My supervisor took all the credit for a new client I brought in without even recognizing that I was involved.	My supervisor is such a genius for taking all the credit for a new client I brought in without even mentioning my involvement	Contradiction	A supervisor taking credit for a new client that an employee brought in is unfair and shows that the supervisor is not a genius but rather ignorant and inconsiderate.	train	Sarcasm	
2136	The violin concerto sounded absurd after the danger we had just passed.	Given the danger that had just passed, the delicate staccato notes of the violin concerto sounded like a wedding march at a funeral.	Entailment	A wedding march is a happy occasion, while a funeral is a somber occasion so a wedding march at a funeral is absurd which is used to draw comparison to the violin concern right after a dangerous event.	train	Simile	
2137	I work very hard, some of my friends have no idea what hard work is yet they have so much.	I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth	Contradiction	Being born into wealth is not a good thing because it gives people an unfair advantage and makes them ungrateful for all the opportunities they have been given in life and hence it isn't amazing to not have an idea on what it means to work hard.	train	Sarcasm	
2138	I ordered food almost two hours ago and it's still not here ugh!	I'm so angry that the food I ordered almost two hours ago still hasn't arrived	Entailment	When people order food, they generally expect it to arrive in a timely manner and so when it doesn't it often leads to frustration and anger	train	CreativeParaphrase	
2139	He knows how to dangle half-truths in front of cops and das and get them to agree with him.	He knows how to dangle half-truths in front of cops and das and get them to sign on the dotted line.	Entailment	To sign on the dotted line means to indicate one's agreement to something, and in this context the person is agreeing with the half-truths.	train	Idiom	sign on the dotted line
2140	One time I fell down the stairs at school in front of a big group of female students.	I was thrilled when I tripped and fell down the stairs in front of a big group of female students	Contradiction	Tripping and falling down the stairs is a very embarrassing thing to do and so someone being thrilled of it is highly implausible.	train	Sarcasm	
2141	I work very hard, some of my friends have no idea what hard work is yet they have so much.	I work so hard, and it isn't unfair at all how some of my friends have no idea what 'hard work' really is because they are born into privilege	Contradiction	Being born into wealth is not a good thing because it gives people an unfair advantage without having to work for it and makes them ungrateful for all the opportunities they have been given in life.	train	Sarcasm	
2142	She couldn't handle jail; she'd lose her mind.	She couldn't handle jail; she'd go bananas.	Entailment	To go bananas means to become irrational or crazy, and in this sentence she would become irrational if she had to go to jail.	train	Idiom	go bananas
2143	I am mad that my sister always asks me to babysit but never does it for me	I feel loved and enjoy the fact that my sister never reciprocates by babysitting for me.	Contradiction	Most people would feel loved when someone offers to babysit for them and their sister not reciprocating implies that she does not love or care for her sibling.	train	Sarcasm	
2144	My brother ordered a pizza with ham and pineapple on it and it was so gross.	My brother's decision to order a pizza with ham and pineapple on it was pretty tantalizing	Contradiction	Ham and pineapple are not two ingredients that go well together and so the brother's decision to order a pizza with that combination was not a wise one.	train	Sarcasm	
2145	Till it acquired the form and features.	Till it took the form and features.	Entailment	Took means to get or to receive something, so, in this case, the thing that is being received is the form and features of something.	train	Metaphor	
2146	I feel badly about wanting to have a child when we are not in a good place financially	I feel delighted about the decision of wanting to have a child might given how our situation is financially	Contradiction	Having a child is a huge responsibility and it should not be done if the parents are not in a stable financial situation because that could put the child in a difficult position.	train	Sarcasm	
2147	he was happy	He was as depressed as a kid on his birthday	Entailment	The simile is saying that the person is happy, because a kid is happy on their birthday.	train	Simile	
2148	The first thing I noticed when I walked in the room was the black leather chair behind the desk- it was narrow and uncomfortable looking.	Before I could do or look at anything else, I noticed the chair behind the desk-black leather and looking like a football player's shoulders.	Contradiction	A football player's shoulders are broad, so the chair would not be narrow, and it would be comfortable because it would be able to accomodate more people	train	Simile	
2149	Even though it was obscene, she couldn't help but be fascinated by it.	It was obscene, but she was drawn to it, like a moth to a flame.	Entailment	A moth is irresistibly attracted to a flame, even though it knows that the flame will ultimately destroy it.	train	Simile	
2150	My wife is so cranky today	My wife has been extra crabby today and it's kinda getting on my nerves	Entailment	When someone is said to be 'cranky' it usually means that they are in a bad mood and are snapping at people more easily which can be irritating for those around them	train	CreativeParaphrase	
2151	My heart beats a bit faster when he walks in the room.	My heart skips when he walks in the room.	Entailment	My heart skips a beat means that I get butterflies in my stomach when I see the person I like.	train	Metaphor	
2152	My brother broke my bike.	My brother totally wrecking my bike makes me wanna hug him out of appreciation.	Contradiction	Having your bike wrecked by someone would lead to frustration and anger instead of appreciation and a desire to hug them.	train	Sarcasm	
2153	I don't approve of apolitical jokes; I have seen too many of them get elected.	I don't approve of political jokes; I have seen too many of them get elected.	Contradiction	In one statement the speaker saying they don't approve jokes about political issues and in the other they don't approve jokes that are not involved with politics.	train	Metaphor	
2154	This story, however, is about a god who is useless.	This tale, however, speaks of a god who's as incompetent as a wagon without wheels.	Entailment	A wagon without wheels is completely useless and cannot perform its intended function.	train	Simile	
2155	The force helped the civilians to re-establish in 1915.	The force erased the civilians in 1915.	Contradiction	The two sentences contradict each other because one describe the force erased the civilians where in the other it states the force helped the civilians to re-establish.	train	Metaphor	
2156	I got really mad yesterday because my husband made a huge mess in the house.	I was so angry yesterday because my husband created such a huge mess in the house	Entailment	It is really frustrating when somebody makes a mess and doesn't clean it up, especially if it's in your own house	train	CreativeParaphrase	
2157	People are always parking in front of my apartment.	I just love it when people always park in front of my apartment	Contradiction	People parking in front of someone's apartment often blocks their way and leaves no space for the other cars, so it is not a proud thing to have people do that.	train	Sarcasm	
2158	Her optimism actually made me believe in a brighter future.	Her optimism stole away these worries.	Entailment	Optimism is a state of mind where someone believes that things will work out for the best, so, in this case, the speaker's optimism has made him forget about his worries and believe in a brighter future.	train	Metaphor	
2159	I drank too much soda, so now my teeth look bad.	I drank too much soda and now my teeth look terrible	Entailment	Drinking too much soda can lead to tooth decay and other dental problems, so it's not surprising that someone's teeth would look bad if they drank a lot of soda	train	CreativeParaphrase	
2160	Floors were flooded with water.	Water galloped down all over the floor.	Entailment	Galloped means to move quickly or run and usually flooded with water means that the water flowed at a very high speed.	train	Metaphor	
2161	I used the internet to help me write a paper once because I didn't read the literature.	I had to use the internet as a crutch because I am such a genius for skimming through the literature and not doing any of the reading	Contradiction	The internet should not be used as a crutch because it is a tool that can provide quick and easy answers to questions and therefore people who rely on it heavily are considered lazy and not geniuses	train	Sarcasm	
2162	Despite leaving to sulk, Eli was returning with a bag of scavenged valuable and important items.	Despite leaving to sulk, eli was returning with a bag of scavenged odds and ends.	Contradiction	Odds and ends are small miscellaneous items that are not important or valuable, but in this context eli is returning with a bag of such items that are valuable and important.	train	Idiom	odds and ends
